bronze,sliver,gold,sliver_lines,gold_lines,difference
palmares-2023-34-kwilu-2.pdf,palmares-2023-34-kwilu-2.txt,palmares-2023-34-kwilu-2.txt,153204,76320,-76884
palmares-2023-35-kwilu-3.pdf,palmares-2023-35-kwilu-3.txt,palmares-2023-35-kwilu-3.txt,102732,51746,-50986
palmares-21-kongo-central-1-2016.pdf,palmares-21-kongo-central-1-2016.txt,palmares-2016-kongo-central-1.txt,16376,15229,-1147
palmares-21-kongo-central-1.pdf,palmares-21-kongo-central-1.txt,palmares-2023-kongo-central-1-21.txt,102603,48446,-54157
palmares-22-kongo-central-2-2016.pdf,palmares-22-kongo-central-2-2016.txt,palmares-2016-kongo-central-2.txt,12331,11365,-966
palmares-22-kongo-central-2.pdf,palmares-22-kongo-central-2.txt,palmares-2023-kongo-central-2-22.txt,56396,26004,-30392
palmares-23-kongo-central-3.pdf,palmares-23-kongo-central-3.txt,palmares-2023-kongo-central-3-23.txt,27847,12664,-15183
palmares-31-mai-ndombe-1.pdf,palmares-31-mai-ndombe-1.txt,palmares-2023-mai-ndombe-1-31.txt,22890,10360,-12530
palmares-31-maindombe-2016.pdf,palmares-31-maindombe-2016.txt,palmares-2016-mai-ndombe-31.txt,12220,11359,-861
palmares-32-kwilu-2016.pdf,palmares-32-kwilu-2016.txt,palmares-2016-kwilu-32.txt,49462,45514,-3948
palmares-33-kwango-1.pdf,palmares-33-kwango-1.txt,palmares-2023-kwango-1-33.txt,13384,6444,-6940
palmares-33-kwango-2016.pdf,palmares-33-kwango-2016.txt,palmares-2016-kwango-33.txt,16360,14993,-1367
palmares-36-kwango-2.pdf,palmares-36-kwango-2.txt,palmares-2023-kwango-2-36.txt,38688,18410,-20278
palmares-37-mai-ndombe-2.pdf,palmares-37-mai-ndombe-2.txt,palmares-2023-mai-ndombe-2-37.txt,22555,10213,-12342
palmares-38-mai-ndombe-3.pdf,palmares-38-mai-ndombe-3.txt,palmares-2023-mai-ndombe-3-38.txt,33408,15850,-17558
palmares-40-nord-ubangi-2.pdf,palmares-40-nord-ubangi-2.txt,palmares-2023-nord-ubangi-2-40.txt,12048,6096,-5952
palmares-41-equateur-1.pdf,palmares-41-equateur-1.txt,palmares-2023-equateur-1-41.txt,50017,22678,-27339
palmares-41-equateur-2016.pdf,palmares-41-equateur-2016.txt,palmares-2016-equateur-41.txt,11112,10401,-711
palmares-42-sud-ubangi-1.pdf,palmares-42-sud-ubangi-1.txt,palmares-2023-sud-ubangi-1-42.txt,29217,14918,-14299
palmares-42-sud-ubangi-2016.pdf,palmares-42-sud-ubangi-2016.txt,palmares-2016-sud-ubangi-42.txt,8685,8118,-567
palmares-43-tshuapa-1.pdf,palmares-43-tshuapa-1.txt,palmares-2023-tshuapa-1-43.txt,17814,7484,-10330
palmares-43-tshuapa-2016.pdf,palmares-43-tshuapa-2016.txt,palmares-2016-tshuapa-43.txt,4499,4187,-312
palmares-44-mongala-1.pdf,palmares-44-mongala-1.txt,palmares-2023-mongala-1-44.txt,30271,13917,-16354
palmares-44-mongala-2016.pdf,palmares-44-mongala-2016.txt,palmares-2016-mongala-44.txt,6694,6163,-531
palmares-45-nord-ubangi-1.pdf,palmares-45-nord-ubangi-1.txt,palmares-2023-nord-ubangi-1-45.txt,13504,6822,-6682
palmares-45-nord-ubangi-2016.pdf,palmares-45-nord-ubangi-2016.txt,palmares-2016-nord-ubangi-45.txt,5105,4715,-390
palmares-46-equateur-2.pdf,palmares-46-equateur-2.txt,palmares-2023-equateur-2-46.txt,20772,9815,-10957
palmares-47-sud-ubangi-2.pdf,palmares-47-sud-ubangi-2.txt,palmares-2023-sud-ubangi-2-47.txt,26661,13295,-13366
palmares-48-tshuapa-2.pdf,palmares-48-tshuapa-2.txt,palmares-2023-tshuapa-2-48.txt,19694,8577,-11117
palmares-49-mongala-2.pdf,palmares-49-mongala-2.txt,palmares-2023-mongala-2-49.txt,13384,6444,-6940
palmares-51-tshopo-1.pdf,palmares-51-tshopo-1.txt,palmares-2023-tshopo-1-51.txt,58810,26235,-32575
palmares-51-tshopo-2016.pdf,palmares-51-tshopo-2016.txt,palmares-2016-tshopo-51.txt,17191,16135,-1056
palmares-52-ituri-1.pdf,palmares-52-ituri-1.txt,palmares-2023-ituri-1-52.txt,31985,15757,-16228
palmares-52-ituri-2016.pdf,palmares-52-ituri-2016.txt,palmares-2016-ituri-52.txt,14790,13896,-894
palmares-53-haut-uele-1.pdf,palmares-53-haut-uele-1.txt,palmares-2023-haut-uele-1-53.txt,15696,7517,-8179
palmares-53-haut-uele-2016.pdf,palmares-53-haut-uele-2016.txt,palmares-2016-haut-uele-53.txt,4233,3971,-262
palmares-54-bas-uele-2016.pdf,palmares-54-bas-uele-2016.txt,palmares-2016-bas-uele-54.txt,2023,1875,-148
palmares-54-bas-uele.pdf,palmares-54-bas-uele.txt,palmares-2023-bas-uele-54.txt,13537,6328,-7209
palmares-55-tshopo-2.pdf,palmares-55-tshopo-2.txt,palmares-2023-tshopo-2-55.txt,35623,17452,-18171
palmares-56-ituri-2.pdf,palmares-56-ituri-2.txt,palmares-2023-ituri-2-56.txt,14472,6695,-7777
palmares-57-ituri-3.pdf,palmares-57-ituri-3.txt,palmares-2023-ituri-3-57.txt,12224,5897,-6327
palmares-58-haut-uele-2.pdf,palmares-58-haut-uele-2.txt,palmares-2023-haut-uele-2-58.txt,11592,5733,-5859
palmares-61-nord-kivu-1-2016.pdf,palmares-61-nord-kivu-1-2016.txt,palmares-2016-nord-kivu-61.txt,24256,22930,-1326
palmares-61-nord-kivu-1.pdf,palmares-61-nord-kivu-1.txt,palmares-2023-nord-kivu-1-61.txt,38048,18236,-19812
palmares-62-nord-kivu-2-2016.pdf,palmares-62-nord-kivu-2-2016.txt,palmares-2016-nord-kivu-62.txt,20618,19425,-1193
palmares-62-nord-kivu-2.pdf,palmares-62-nord-kivu-2.txt,palmares-2023-nord-kivu-2-62.txt,86062,42452,-43610
palmares-63-sud-kivu-1.pdf,palmares-63-sud-kivu-1.txt,palmares-2023-sud-kivu-1-63.txt,111719,49933,-61786
palmares-63-sud-kivu-2016.pdf,palmares-63-sud-kivu-2016.txt,palmares-2016-sud-kivu-63.txt,35988,33969,-2019
palmares-64-maniema-1.pdf,palmares-64-maniema-1.txt,palmares-2023-maniema-1-64.txt,34682,16874,-17808
palmares-64-maniema-2016.pdf,palmares-64-maniema-2016.txt,palmares-2016-maniema-64.txt,12785,11831,-954
palmares-65-sud-kivu-2.pdf,palmares-65-sud-kivu-2.txt,palmares-2023-sud-kivu-2-65.txt,61457,26521,-34936
palmares-66-nord-kivu-3.pdf,palmares-66-nord-kivu-3.txt,palmares-2023-nord-kivu-3-66.txt,36134,17733,-18401
palmares-67-sud-kivu-3.pdf,palmares-67-sud-kivu-3.txt,palmares-2023-sud-kivu-3-67.txt,17443,8533,-8910
palmares-68-maniema-2.pdf,palmares-68-maniema-2.txt,palmares-2023-maniema-2-68.txt,30682,14223,-16459
palmares-71-haut-katanga-1.pdf,palmares-71-haut-katanga-1.txt,palmares-2023-haut-katanga-1-71.txt,256854,121752,-135102
palmares-71-haut-katanga-2016.pdf,palmares-71-haut-katanga-2016.txt,palmares-2016-haut-katanga-71.txt,40845,38541,-2304
palmares-72-haut-lomami-1.pdf,palmares-72-haut-lomami-1.txt,palmares-2023-haut-lomami-1-72.txt,44719,20857,-23862
palmares-72-haut-lomami-2016.pdf,palmares-72-haut-lomami-2016.txt,palmares-2016-haut-lomami-72.txt,14028,13146,-882
palmares-73-tanganyika-1.pdf,palmares-73-tanganyika-1.txt,palmares-2023-tanganyika-1-73.txt,28441,12711,-15730
palmares-73-tanganyika-2016.pdf,palmares-73-tanganyika-2016.txt,palmares-2016-tanganyika-73.txt,11245,10599,-646
palmares-74-lualaba-1.pdf,palmares-74-lualaba-1.txt,palmares-2023-lualaba-1-74.txt,50288,22315,-27973
palmares-74-lualaba-2016.pdf,palmares-74-lualaba-2016.txt,palmares-2016-lualaba-74.txt,7645,7159,-486
palmares-75-haut-lomami-2.pdf,palmares-75-haut-lomami-2.txt,palmares-2023-haut-lomami-2-75.txt,29028,12431,-16597
palmares-76-haut-katanga-2.pdf,palmares-76-haut-katanga-2.txt,palmares-2023-haut-katanga-2-76.txt,13965,6445,-7520
palmares-77-tanganyika-2.pdf,palmares-77-tanganyika-2.txt,palmares-2023-tanganyika-2-77.txt,29689,12806,-16883
palmares-78-lualaba-2.pdf,palmares-78-lualaba-2.txt,palmares-2023-lualaba-2-78.txt,16913,7595,-9318
palmares-81-kasai-central-1.pdf,palmares-81-kasai-central-1.txt,palmares-2023-kasai-central-1-81.txt,80504,34888,-45616
palmares-81-kasai-central-2016.pdf,palmares-81-kasai-central-2016.txt,palmares-2016-kasai-central-81.txt,17881,16600,-1281
palmares-82-kasai-1.pdf,palmares-82-kasai-1.txt,palmares-2023-kasai-1-82.txt,58678,28562,-30116
palmares-82-kasai-2016.pdf,palmares-82-kasai-2016.txt,palmares-2016-kasai-82.txt,19209,17661,-1548
palmares-83-kasai-central-2.pdf,palmares-83-kasai-central-2.txt,palmares-2023-kasai-central-2-83.txt,36426,16053,-20373
palmares-84-kasai-2.pdf,palmares-84-kasai-2.txt,palmares-2023-kasai-2-84.txt,59984,27394,-32590
palmares-91-kasai-oriental-1.pdf,palmares-91-kasai-oriental-1.txt,palmares-2023-kasai-oriental-1-91.txt,67560,28776,-38784
palmares-91-kasai-oriental-2016.pdf,palmares-91-kasai-oriental-2016.txt,palmares-2016-kasai-oriental-91.txt,12721,12086,-635
palmares-92-sankuru-1.pdf,palmares-92-sankuru-1.txt,palmares-2023-sankuru-1-92.txt,32691,16255,-16436
