filename,year,region,province,total,unique_names,m,f,lower_threshold,upper_threshold,is_low_outlier,is_high_outlier
palmares-2015-province-orientale-2-52.txt,2015,province-orientale-2-52,orientale,9094,9088,5732,3362,-11453.0,31227.0,false,false
palmares-2019-kwilu-1-32.txt,2019,kwilu-1-32,bandundu,9061,9061,5302,3759,-11453.0,31227.0,false,false
palmares-2008-equateur.txt,2008,equateur,equateur,9021,8993,6868,2153,-11453.0,31227.0,false,false
palmares-2015-kasai-oriental-1-91.txt,2015,kasai-oriental-1-91,kasai-oriental,8995,8972,6107,2888,-11453.0,31227.0,false,false
palmares-2021-tshopo-1.txt,2021,tshopo-1,orientale,8984,8984,4988,3996,-11453.0,31227.0,false,false
palmares-2010-nord-kivu-1-61.txt,2010,nord-kivu-1-61,nord-kivu,8959,8956,6218,2741,-11453.0,31227.0,false,false
palmares-2019-kwango-1-33.txt,2019,kwango-1-33,bandundu,8821,8717,5576,3245,-11453.0,31227.0,false,false
palmares-2019-nord-kivu-3-66.txt,2019,nord-kivu-3-66,nord-kivu,8814,8808,5542,3272,-11453.0,31227.0,false,false
palmares-2017-definitif-equateur-41.txt,2017,definitif-equateur-41,equateur,8802,8798,5905,2897,-11453.0,31227.0,false,false
palmares-2023-nord-kivu-1-61.txt,2023,nord-kivu-1-61,nord-kivu,8711,8686,3752,4959,-11453.0,31227.0,false,false
palmares-2012-maniema.txt,2012,maniema,maniema,8709,8610,6694,2015,-11453.0,31227.0,false,false
palmares-2016-maniema-64.txt,2016,maniema-64,maniema,8697,8570,6493,2204,-11453.0,31227.0,false,false
palmares-2021-mai-ndombe-1.txt,2021,mai-ndombe-1,bandundu,8675,8673,5357,3318,-11453.0,31227.0,false,false
palmares-2015-equateur-1-41.txt,2015,equateur-1-41,equateur,8667,8654,5821,2846,-11453.0,31227.0,false,false
palmares-2019-sud-kivu-2-65.txt,2019,sud-kivu-2-65,sud-kivu,8639,8627,5673,2966,-11453.0,31227.0,false,false
palmares-2021-nord-kivu-3.txt,2021,nord-kivu-3,nord-kivu,8616,8609,5843,2773,-11453.0,31227.0,false,false
palmares-2016-mai-ndombe-31.txt,2016,mai-ndombe-31,bandundu,8600,8595,5664,2936,-11453.0,31227.0,false,false
palmares-2021-kwango-1.txt,2021,kwango-1,bandundu,8525,8448,5231,3294,-11453.0,31227.0,false,false
palmares-2021-kinshasa-plateau.txt,2021,kinshasa-plateau,kinshasa,8464,8462,3946,4518,-11453.0,31227.0,false,false
palmares-2016-tanganyika-73.txt,2016,tanganyika-73,katanga,8445,8428,6175,2270,-11453.0,31227.0,false,false
palmares-2022-sud-kivu-1-code-63.txt,2022,sud-kivu-1-code-63,sud-kivu,8379,8359,4801,3578,-11453.0,31227.0,false,false
palmares-2010-bas-congo-1-21.txt,2010,bas-congo-1-21,bas-congo,8277,8266,5017,3260,-11453.0,31227.0,false,false
palmares-2022-nord-kivu-1-code-61.txt,2022,nord-kivu-1-code-61,nord-kivu,8230,8228,3997,4233,-11453.0,31227.0,false,false
palmares-2015-katanga-3-73.txt,2015,katanga-3-73,katanga,8208,8196,5970,2238,-11453.0,31227.0,false,false
palmares-2016-kongo-central-2.txt,2016,kongo-central-2,bas-congo,8180,8175,5546,2634,-11453.0,31227.0,false,false
palmares-2009-maniema.txt,2009,maniema,maniema,8159,8080,6641,1518,-11453.0,31227.0,false,false
palmares-2010-maniema-64.txt,2010,maniema-64,maniema,8141,8037,6742,1399,-11453.0,31227.0,false,false
palmares-2019-kasai-2-84.txt,2019,kasai-2-84,kasai-occidental,8109,8022,5309,2800,-11453.0,31227.0,false,false
palmares-2016-equateur-41.txt,2016,equateur-41,equateur,8100,8095,5412,2688,-11453.0,31227.0,false,false
palmares-2023-nord-kivu-3-66.txt,2023,nord-kivu-3-66,nord-kivu,8085,8065,5041,3044,-11453.0,31227.0,false,false
palmares-2023-tshopo-2-55.txt,2023,tshopo-2-55,orientale,8075,8068,6120,1955,-11453.0,31227.0,false,false
palmares-2022-ituri-1-52.txt,2022,ituri-1-52,orientale,8051,8045,4154,3897,-11453.0,31227.0,false,false
palmares-2013-province-orientale-1-51.txt,2013,province-orientale-1-51,orientale,8019,8018,5510,2509,-11453.0,31227.0,false,false
palmares-2021-sud-kivu-2.txt,2021,sud-kivu-2,sud-kivu,7977,7954,5091,2886,-11453.0,31227.0,false,false
palmares-2023-mai-ndombe-3-38.txt,2023,mai-ndombe-3-38,bandundu,7906,7895,4379,3527,-11453.0,31227.0,false,false
palmares-2015-bas-congo-2-22.txt,2015,bas-congo-2-22,bas-congo,7898,7891,5277,2621,-11453.0,31227.0,false,false
palmares-2017-definitif-tanganyika-73.txt,2017,definitif-tanganyika-73,katanga,7893,7877,5825,2068,-11453.0,31227.0,false,false
palmares-2022-mai-ndombe-3-code-38.txt,2022,mai-ndombe-3-code-38,bandundu,7877,7876,4441,3436,-11453.0,31227.0,false,false
palmares-2023-tanganyika-2-77.txt,2023,tanganyika-2-77,katanga,7811,7479,6049,1762,-11453.0,31227.0,false,false
palmares-2023-maniema-1-64.txt,2023,maniema-1-64,maniema,7798,7785,5081,2717,-11453.0,31227.0,false,false
palmares-2017-definitif-sankuru-92.txt,2017,definitif-sankuru-92,kasai-oriental,7759,7743,5304,2455,-11453.0,31227.0,false,false
palmares-2019-haut-lomami-72.txt,2019,haut-lomami-72,katanga,7757,7728,5549,2208,-11453.0,31227.0,false,false
palmares-2013-kasai-oriental-2-92.txt,2013,kasai-oriental-2-92,kasai-oriental,7703,7633,5555,2148,-11453.0,31227.0,false,false
palmares-2023-haut-lomami-2-75.txt,2023,haut-lomami-2-75,katanga,7673,7329,5821,1852,-11453.0,31227.0,false,false
palmares-2022-tanganyika-1-code-73.txt,2022,tanganyika-1-code-73,katanga,7656,7649,4376,3280,-11453.0,31227.0,false,false
palmares-2010-province-orientale-1-51.txt,2010,province-orientale-1-51,orientale,7487,7487,5226,2261,-11453.0,31227.0,false,false
palmares-2013-bas-congo-1-21.txt,2013,bas-congo-1-21,bas-congo,7485,7481,4304,3181,-11453.0,31227.0,false,false
palmares-2018-lualaba.txt,2018,lualaba,katanga,7468,7466,4793,2675,-11453.0,31227.0,false,false
palmares-2019-cataratces-22.txt,2019,cataratces-22,bas-congo,7391,7390,4548,2843,-11453.0,31227.0,false,false
palmares-2023-maniema-2-68.txt,2023,maniema-2-68,maniema,7389,7262,5561,1828,-11453.0,31227.0,false,false
palmares-2019-equateur-1-41.txt,2019,equateur-1-41,equateur,7388,7387,4687,2701,-11453.0,31227.0,false,false
palmares-2023-mongala-1-44.txt,2023,mongala-1-44,equateur,7330,7318,5018,2312,-11453.0,31227.0,false,false
palmares-2022-haut-lomami-2-75.txt,2022,haut-lomami-2-75,katanga,7238,7184,5620,1618,-11453.0,31227.0,false,false
palmares-2010-nord-kivu-2-62.txt,2010,nord-kivu-2-62,nord-kivu,7202,7188,4397,2805,-11453.0,31227.0,false,false
palmares-2023-tanganyika-1-73.txt,2023,tanganyika-1-73,katanga,7199,7169,4159,3040,-11453.0,31227.0,false,false
palmares-2022-kwilu-1-code-32.txt,2022,kwilu-1-code-32,bandundu,7178,7176,3775,3403,-11453.0,31227.0,false,false
palmares-2017-definitif-sud-ubangi-42.txt,2017,definitif-sud-ubangi-42,equateur,7156,7156,5339,1817,-11453.0,31227.0,false,false
palmares-2021-lualaba-1.txt,2021,lualaba-1,katanga,7133,7130,3981,3152,-11453.0,31227.0,false,false
palmares-2019-mongala-44.txt,2019,mongala-44,equateur,7099,7098,5236,1863,-11453.0,31227.0,false,false
