metric,count,share
has_hyphen,66405,0.00824498884589153
has_apostrophe,34327,0.004262114782213968
has_particle,143323,0.017795294576608865
has_diacritics,7260,0.0009014173484100972
non_alpha_heavy,198,0.00002458410950209356
