ngram,count,share
chris,121425,0.008203717302435333
hrist,108834,0.007353044009827029
ustin,81005,0.0054728607789481095
franc,68637,0.004637253815007239
natha,62946,0.004252758404933865
atric,61848,0.004178575315800045
risti,60988,0.004120471985513083
josep,59806,0.004040613687374491
oseph,59690,0.004032776493986947
patri,52770,0.003565247371212786
athan,52752,0.0035640312549974776
marie,51248,0.003462417989007255
esthe,48125,0.0032514218256512284
sther,47931,0.003238314795330681
eline,45336,0.003062991374290371
justi,43312,0.002926245862080125
grace,41659,0.0028145658563076266
emman,41283,0.002789162539810071
miche,40445,0.0027325455737862636
dorca,40418,0.0027307213994633007
eille,40290,0.002722073461932218
orcas,40219,0.0027172765590829455
manue,39827,0.0026907922503940046
david,39588,0.002674644929535186
danie,39553,0.0026722802591165307
istia,39458,0.00266586186798018
mmanu,39417,0.0026630918254897554
moise,39267,0.0026529575236955176
anuel,39249,0.0026517414074802093
aniel,39129,0.002643633966044819
jonat,38966,0.002632621358095081
stian,38903,0.002628364951341501
onath,38767,0.0026191765177147257
charl,38748,0.002617892839487456
sarah,38460,0.0025984349800425195
andre,38337,0.0025901248525712446
pierr,38137,0.002576612450178928
jacqu,37443,0.0025297244138775886
lbert,37260,0.0025173605656886185
trick,36411,0.002460000417533234
ierre,35921,0.002426895031672058
rache,35125,0.002373115670150637
ichel,35042,0.0023675080231578254
achel,34603,0.00233784829990669
acque,34366,0.002321836103071795
merve,34279,0.002315958208031137
stine,33851,0.002287041666911579
riste,32404,0.002189279435603167
rveil,31986,0.0021610385146032247
ervei,31935,0.002157592851993184
