province,shannon,simpson,effective_names
autre,14.705132672389666,0.9999995741134917,2434209.624765677
bandundu,13.541098143232876,0.9999986037286154,760018.5677642886
bas-congo,12.565026578110867,0.9999963832844488,286366.1678601329
equateur,12.826453868526073,0.9999973037575742,371927.3686121386
kasai-occidental,12.867689509011376,0.9999965800462062,387584.6319695675
kasai-oriental,7.108713489455271,-2.920198877154334e-6,1222.573679980137
katanga,13.59023157484015,0.9999985588192893,798293.477282005
kinshasa,13.9403985756211,0.9999991031637401,1133021.5675524883
maniema,11.687613537510888,0.999990684100733,119087.46921539141
nord-kivu,12.856276252760253,0.999997344476525,383186.17733682576
orientale,12.730973996540824,0.9999970303374821,338058.4189094689
sud-kivu,12.724993327743618,0.9999968108293443,336042.6373412644
