ngram,count,share
an,961970,0.0285592843473289
in,798644,0.023710407900753808
el,777156,0.023072465031375965
ie,754962,0.022413562199889932
ne,715335,0.021237102683655952
er,687128,0.020399683914271143
ri,679318,0.020167818044490755
en,505480,0.01500685785615748
ar,502520,0.014918980394627397
is,495471,0.01470970734519309
ra,467422,0.013876979332200763
ch,442118,0.01312574578944495
re,431506,0.012810693214526964
ma,412771,0.012254482322038417
le,410172,0.012177322348215213
st,408149,0.012117262853392458
on,400643,0.011894422236417863
li,383544,0.011386781454423647
ic,378600,0.01124000234300313
se,376482,0.011177122456678564
ce,371526,0.011029987085278872
ti,366977,0.010894934864839565
he,359936,0.010685899322058042
or,340595,0.010111697300621107
es,329446,0.009780702091634995
la,325693,0.009669281783147698
th,324570,0.009635941786763143
ha,314705,0.009343066395548863
di,311310,0.00924227450977365
jo,299381,0.008888122402141098
na,299123,0.008880462812588814
be,291759,0.008661837938701136
al,282061,0.008373920498863723
te,281270,0.008350437028569704
ni,277495,0.008238363576787252
mi,267335,0.007936730127751562
je,264871,0.007863578078694089
ac,262161,0.007783122700063506
de,261838,0.007773533368957352
vi,252877,0.007507496229507666
at,243227,0.007221003829586957
ia,241421,0.007167386702720969
ph,237061,0.007037945576953685
me,235230,0.006983586241797745
ge,222308,0.006599953620888378
nc,221261,0.006568869937705271
sa,213498,0.00633839941950999
ea,212026,0.006294698195397732
lo,204201,0.006062387000643376
as,204045,0.006057755620914088
