ngram,count,share
nga,1076984,0.015561134015199509
mba,976232,0.01410538780699272
ang,785278,0.011346330304988599
amb,768402,0.01110249223716168
ngo,723730,0.010457035128488761
aka,593891,0.008581016469530514
ong,593060,0.008569009510869448
ala,483541,0.006986590611228752
nda,460683,0.006656319779610612
mbo,433059,0.006257185933577736
ama,432634,0.0062510451905801985
shi,419388,0.006059656292355775
eng,417764,0.006036191429701655
and,400342,0.005784464313223782
omb,399507,0.005772399559334503
umb,396945,0.0057353817156646425
ung,392900,0.00567693629113514
tsh,370097,0.005347460143904917
amu,366205,0.005291225386854528
mbu,342885,0.0049542792063778885
kab,336717,0.004865158964474805
ban,331407,0.004788435799023221
ngu,329279,0.0047576887376143745
emb,316620,0.004574781289130078
aba,306959,0.004435191364190764
man,298759,0.004316711146355926
mbe,291781,0.004215887370739888
kan,282485,0.00408157126037493
kal,280884,0.00405843872028303
kas,260673,0.003766413880934259
ing,257370,0.0037186894712381035
ndo,256364,0.003704153971342756
uka,254282,0.0036740715550583497
kam,253793,0.0036670060884094182
adi,251684,0.00363653355433458
ika,246084,0.003555620234837617
bam,244945,0.0035391630436042167
nge,241703,0.0034923200111382966
ond,241479,0.003489083478358418
alu,232995,0.003366499799320519
mbi,224319,0.0032411419493284382
muk,223240,0.00322555168651822
olo,222628,0.003216709016601766
ele,216386,0.0031265195629767584
ima,215298,0.0031107992609030626
anz,212410,0.0030690711061339146
imb,203419,0.00293916188192013
lam,202212,0.0029217221718071235
end,201661,0.0029137608791209046
eka,200799,0.0029013060074411933
