ngram,count,share
ng,2690439,0.03561861672743504
ka,2422068,0.0320656635514818
mb,2344782,0.03104247721928971
an,2264842,0.02998415468486646
ba,1961024,0.02596192006185666
am,1958668,0.025930729069973985
ma,1639772,0.021708877394499417
nd,1279949,0.016945194766230996
mu,1276863,0.016904339332890615
al,1263542,0.01672798313472884
on,1192067,0.01578172840433227
ga,1160857,0.01536854043461311
ak,1144522,0.015152282008295824
la,1143789,0.015142577849955416
bo,965702,0.012784891019985018
ab,943761,0.012494414978856916
en,936437,0.012397452829218239
lu,852635,0.011288001427795456
om,814223,0.010779466461667535
um,795585,0.010532718708395325
in,778682,0.01030894055228629
un,764521,0.010121463626967706
go,763927,0.010113599684192532
as,753672,0.009977834140153121
bu,713337,0.009443840652212643
im,706761,0.009356781245327888
ki,696841,0.009225450753190301
lo,692985,0.009174401319956175
le,675967,0.008949100683343529
em,674167,0.00892527055372179
sh,672621,0.008904803120168897
di,662605,0.008772201687784817
wa,648654,0.008587504944255435
ya,640816,0.008483737968713661
sa,632798,0.008377587980209713
ko,624769,0.008271292363135854
uk,617449,0.00817438316934078
at,610257,0.00807916856254103
be,582786,0.007715481067630583
il,580399,0.007683879667959977
bi,566120,0.007494840545255077
ul,557569,0.007381634190590914
ol,555792,0.007358108557069897
el,553457,0.007327195583366141
hi,551740,0.007304464287499182
ok,538218,0.007125447058196314
ik,520660,0.006892997382697147
da,519179,0.006873390481602816
ku,510563,0.0067593235944800895
ta,505825,0.006696597397731311
