ngram,count,share
jean,180585,0.008581100727349085
rist,127323,0.0060501785193026415
chri,123746,0.005880205391403161
hris,121488,0.005772908963447604
stin,120434,0.005722824625509094
ette,102192,0.004855994936064777
ranc,91957,0.004369644652572694
line,83398,0.003962935118971448
usti,82396,0.00391532173508683
bert,78362,0.003723632722521411
jose,75142,0.0035706236445688455
seph,73978,0.0035153122884394087
rick,72751,0.003457007276436987
ther,72338,0.003437382199047419
fran,72082,0.003425217502166718
chel,71310,0.0033885333381358544
char,68601,0.0032598061355975003
grac,68378,0.003249209544174077
mari,66485,0.003159257312942957
nath,64943,0.0030859840215756106
atha,64441,0.003062129811286111
tric,62561,0.002972795318568464
isti,62509,0.0029703243645145716
atri,62412,0.002965715084837119
osep,59850,0.0028439730793357295
tine,58835,0.002795741956937638
ance,57753,0.002744327105277801
andr,55962,0.0026592217454600854
arie,55730,0.00264819748891195
ille,54455,0.002587611596244397
than,54312,0.0025808164725961927
jona,53071,0.002521846203733108
patr,53026,0.0025197078781095473
anie,52784,0.0025082084380895096
elin,51657,0.0024546552608061115
elle,51472,0.002445864366575918
ange,51099,0.002428140023073959
mich,50727,0.0024104631979191904
iche,50461,0.0023978233175665875
sthe,48892,0.002323267030825104
esth,48784,0.0023181350493285584
onat,47760,0.0022694762618057553
oise,47359,0.00225042140458247
dieu,46080,0.0021896454385261555
davi,44717,0.0021248779313058617
tien,44639,0.002121171500225023
rice,44617,0.002120126096586838
erve,44252,0.002102781899862401
just,43788,0.002080733386766131
isto,43506,0.0020673332128584836
