ngram,count,share
amba,399562,0.006353841862992576
anga,379454,0.006034084097787038
ongo,354151,0.005631715352362546
tshi,306376,0.004871996472678116
umba,233535,0.003713677625685053
unga,192424,0.0030599297897309636
ombo,189248,0.003009424982574967
anda,168117,0.0026733994536035028
enga,151186,0.002404162397571329
ngam,149237,0.0023731693657240253
ngan,146284,0.0023262107084407574
onga,144170,0.002292593843727981
inga,142538,0.002266641751385857
lung,139545,0.002219047013407929
bang,138139,0.0021966887769906333
ungu,132409,0.002105570217480601
ambu,129366,0.0020571803786343483
enge,128085,0.0020368098943878647
mbam,127507,0.0020276185283500292
angu,124413,0.001978417686618085
ngoy,123494,0.0019638037326582735
song,122623,0.001949953075532054
anza,122031,0.0019405390812510875
ango,115476,0.0018363013574136946
kaba,114577,0.0018220054438012132
baka,114555,0.00182165559941915
ilun,112712,0.0017923481814126948
ngom,111904,0.0017794993513805645
mbal,111670,0.0017757782793168043
ngal,108747,0.0017292966825545313
kamb,104954,0.0016689803306834052
bamb,102404,0.001628430186398836
kaso,102101,0.001623611875136787
ondo,101368,0.0016119556964071444
imba,100950,0.0016053086531479482
emba,98990,0.0015741406991096126
atsh,98694,0.0015694337019691294
embe,98387,0.0015645517826376144
ason,98126,0.0015604013561049586
mbak,97432,0.001549365356052609
kala,95045,0.001511407240598779
akab,94589,0.001504155920679656
long,90504,0.0014391961797375126
alam,90152,0.0014335986696245055
ngak,87926,0.0013982007789666816
bong,87532,0.0013919353841242814
tumb,86661,0.001378084726998062
mban,86073,0.0013687343407865612
mang,85614,0.0013614353148153388
omba,83541,0.0013284704328145889
